category,app_name,x_time_seconds,y_cumulative_requests
Lifestyle,Alo,461.52,69
Lifestyle,Alo,461.52,70
Lifestyle,Alo,461.52,71
Lifestyle,Alo,461.52,72
Lifestyle,Alo,461.52,73
Lifestyle,Alo,461.52,74
Lifestyle,Alo,461.52,75
Lifestyle,Alo,461.52,76
Lifestyle,Alo,461.52,77
Lifestyle,Alo,461.52,78
Lifestyle,Alo,461.52,79
Lifestyle,Alo,461.52,80
Lifestyle,Alo,461.52,81
Lifestyle,Alo,461.52,82
Lifestyle,Alo,461.52,83
Lifestyle,Alo,461.52,84
Lifestyle,Alo,461.52,85
Lifestyle,Alo,493.26,86
Lifestyle,Alo,493.46,87
Lifestyle,Alo,493.46,88
Lifestyle,Alo,493.46,89
Lifestyle,Alo,493.46,90
Lifestyle,Alo,493.46,91
Lifestyle,Alo,493.46,92
Lifestyle,Alo,493.46,93
Lifestyle,Alo,493.46,94
Lifestyle,Alo,493.46,95
Lifestyle,Alo,493.46,96
Lifestyle,Alo,493.46,97
Lifestyle,Alo,493.46,98
Lifestyle,Alo,525.77,99
Lifestyle,Alo,526.29,100
Lifestyle,Alo,526.29,101
Lifestyle,Alo,526.29,102
Lifestyle,Alo,526.29,103
Lifestyle,Alo,526.29,104
Lifestyle,Alo,526.29,105
Lifestyle,Alo,526.29,106
Lifestyle,Alo,526.29,107
Lifestyle,Alo,526.29,108
Lifestyle,Alo,526.29,109
Lifestyle,Cronica,0.0,1
Lifestyle,Cronica,0.04,2
Lifestyle,Cronica,0.11,3
Lifestyle,Cronica,0.43,4
Lifestyle,Cronica,0.58,5
Lifestyle,Cronica,0.58,6
Lifestyle,Cronica,0.58,7
Lifestyle,Cronica,0.58,8
Lifestyle,Cronica,0.58,9
Lifestyle,Cronica,0.58,10
Lifestyle,Cronica,0.99,11
Lifestyle,Cronica,1.05,12
Lifestyle,Cronica,1.51,13
Lifestyle,Cronica,1.52,14
Lifestyle,Cronica,1.54,15
Lifestyle,Cronica,1.58,16
Lifestyle,Cronica,1.58,17
Lifestyle,Cronica,1.58,18
Lifestyle,Cronica,1.64,19
Lifestyle,Cronica,1.65,20
Lifestyle,Cronica,1.65,21
Lifestyle,Cronica,1.7,22
Lifestyle,Cronica,1.72,23
Lifestyle,Cronica,2.03,24
Lifestyle,Cronica,2.05,25
Lifestyle,Cronica,2.06,26
Lifestyle,Cronica,58.25,27
Lifestyle,Cronica,58.26,28
Lifestyle,Cronica,58.63,29
Lifestyle,Cronica,58.63,30
Lifestyle,Cronica,58.63,31
Lifestyle,Cronica,58.63,32
Lifestyle,Cronica,58.63,33
Lifestyle,Cronica,58.63,34
Lifestyle,Cronica,58.86,35
Lifestyle,Cronica,58.86,36
Lifestyle,Cronica,58.87,37
Lifestyle,Cronica,58.87,38
Lifestyle,Cronica,58.87,39
Lifestyle,EMDR,0.0,1
Lifestyle,EMDR,503.2,2
Lifestyle,EMDR,936.42,3
Lifestyle,Study Snacks,0.0,1
Lifestyle,Study Snacks,8.91,2
Lifestyle,Study Snacks,120.57,3
Lifestyle,Study Snacks,168.28,4
